가게이름,판매량,재고,가격,날짜,요일,카테고리,날씨,공휴일,계절
원조순희네빈대떡,43,3,5000,2023-01-01,Sunday,전류,비,1,겨울
원조순희네빈대떡,85,10,5000,2023-01-02,Monday,전류,비,0,겨울
원조순희네빈대떡,168,30,5000,2023-01-03,Tuesday,전류,더움,0,겨울
원조순희네빈대떡,311,23,5000,2023-01-04,Wednesday,전류,더움,0,겨울
원조순희네빈대떡,81,8,5000,2023-01-05,Thursday,전류,더움,0,겨울
원조순희네빈대떡,21,3,5000,2023-01-06,Friday,전류,흐림,0,겨울
원조순희네빈대떡,30,6,5000,2023-01-07,Saturday,전류,맑음,1,겨울
원조순희네빈대떡,158,11,5000,2023-01-08,Sunday,전류,흐림,1,겨울
원조순희네빈대떡,238,13,5000,2023-01-09,Monday,전류,더움,0,겨울
원조순희네빈대떡,295,27,5000,2023-01-10,Tuesday,전류,맑음,0,겨울
원조순희네빈대떡,104,19,5000,2023-01-11,Wednesday,전류,눈,0,겨울
원조순희네빈대떡,106,19,5000,2023-01-12,Thursday,전류,비,0,겨울
원조순희네빈대떡,51,10,5000,2023-01-13,Friday,전류,비,0,겨울
원조순희네빈대떡,83,6,5000,2023-01-14,Saturday,전류,더움,1,겨울
원조순희네빈대떡,124,22,5000,2023-01-15,Sunday,전류,흐림,1,겨울
원조순희네빈대떡,8,1,5000,2023-01-16,Monday,전류,맑음,0,겨울
원조순희네빈대떡,199,22,5000,2023-01-17,Tuesday,전류,눈,0,겨울
원조순희네빈대떡,27,5,5000,2023-01-18,Wednesday,전류,눈,0,겨울
원조순희네빈대떡,301,21,5000,2023-01-19,Thursday,전류,비,0,겨울
원조순희네빈대떡,30,5,5000,2023-01-20,Friday,전류,비,0,겨울
원조순희네빈대떡,214,25,5000,2023-01-21,Saturday,전류,더움,1,겨울
원조순희네빈대떡,22,3,5000,2023-01-22,Sunday,전류,맑음,1,겨울
원조순희네빈대떡,164,15,5000,2023-01-23,Monday,전류,흐림,0,겨울
원조순희네빈대떡,17,2,5000,2023-01-24,Tuesday,전류,눈,0,겨울
원조순희네빈대떡,147,8,5000,2023-01-25,Wednesday,전류,더움,0,겨울
원조순희네빈대떡,276,16,5000,2023-01-26,Thursday,전류,눈,0,겨울
원조순희네빈대떡,22,3,5000,2023-01-27,Friday,전류,눈,0,겨울
원조순희네빈대떡,56,9,5000,2023-01-28,Saturday,전류,더움,1,겨울
원조순희네빈대떡,154,18,5000,2023-01-29,Sunday,전류,흐림,1,겨울
원조순희네빈대떡,309,20,5000,2023-01-30,Monday,전류,눈,0,겨울
원조순희네빈대떡,154,21,5000,2023-01-31,Tuesday,전류,맑음,0,겨울
원조순희네빈대떡,111,13,5000,2023-02-01,Wednesday,전류,비,0,겨울
원조순희네빈대떡,50,9,5000,2023-02-02,Thursday,전류,흐림,0,겨울
원조순희네빈대떡,204,24,5000,2023-02-03,Friday,전류,비,0,겨울
원조순희네빈대떡,46,7,5000,2023-02-04,Saturday,전류,눈,1,겨울
원조순희네빈대떡,328,26,5000,2023-02-05,Sunday,전류,눈,1,겨울
원조순희네빈대떡,134,21,5000,2023-02-06,Monday,전류,더움,0,겨울
원조순희네빈대떡,12,2,5000,2023-02-07,Tuesday,전류,흐림,0,겨울
원조순희네빈대떡,41,8,5000,2023-02-08,Wednesday,전류,더움,0,겨울
원조순희네빈대떡,227,15,5000,2023-02-09,Thursday,전류,비,0,겨울
원조순희네빈대떡,62,11,5000,2023-02-10,Friday,전류,흐림,0,겨울
원조순희네빈대떡,34,4,5000,2023-02-11,Saturday,전류,더움,1,겨울
원조순희네빈대떡,67,10,5000,2023-02-12,Sunday,전류,흐림,1,겨울
원조순희네빈대떡,186,20,5000,2023-02-13,Monday,전류,흐림,0,겨울
원조순희네빈대떡,322,24,5000,2023-02-14,Tuesday,전류,흐림,0,겨울
원조순희네빈대떡,5,1,5000,2023-02-15,Wednesday,전류,비,0,겨울
원조순희네빈대떡,94,16,5000,2023-02-16,Thursday,전류,맑음,0,겨울
원조순희네빈대떡,16,3,5000,2023-02-17,Friday,전류,눈,0,겨울
원조순희네빈대떡,107,12,5000,2023-02-18,Saturday,전류,비,1,겨울
원조순희네빈대떡,268,27,5000,2023-02-19,Sunday,전류,비,1,겨울
원조순희네빈대떡,19,2,5000,2023-02-20,Monday,전류,흐림,0,겨울
원조순희네빈대떡,194,21,5000,2023-02-21,Tuesday,전류,눈,0,겨울
원조순희네빈대떡,257,25,5000,2023-02-22,Wednesday,전류,비,0,겨울
원조순희네빈대떡,50,8,5000,2023-02-23,Thursday,전류,흐림,0,겨울
원조순희네빈대떡,222,27,5000,2023-02-24,Friday,전류,흐림,0,겨울
원조순희네빈대떡,67,8,5000,2023-02-25,Saturday,전류,흐림,1,겨울
원조순희네빈대떡,43,4,5000,2023-02-26,Sunday,전류,맑음,1,겨울
원조순희네빈대떡,123,13,5000,2023-02-27,Monday,전류,더움,0,겨울
원조순희네빈대떡,103,18,5000,2023-02-28,Tuesday,전류,더움,0,겨울
원조순희네빈대떡,179,23,5000,2023-03-01,Wednesday,전류,비,0,봄
원조순희네빈대떡,93,9,5000,2023-03-02,Thursday,전류,눈,0,봄
원조순희네빈대떡,26,3,5000,2023-03-03,Friday,전류,눈,0,봄
원조순희네빈대떡,149,24,5000,2023-03-04,Saturday,전류,더움,1,봄
원조순희네빈대떡,382,23,5000,2023-03-05,Sunday,전류,흐림,1,봄
원조순희네빈대떡,459,28,5000,2023-03-06,Monday,전류,비,0,봄
원조순희네빈대떡,193,27,5000,2023-03-07,Tuesday,전류,더움,0,봄
원조순희네빈대떡,231,29,5000,2023-03-08,Wednesday,전류,흐림,0,봄
원조순희네빈대떡,147,29,5000,2023-03-09,Thursday,전류,더움,0,봄
원조순희네빈대떡,135,15,5000,2023-03-10,Friday,전류,비,0,봄
원조순희네빈대떡,141,27,5000,2023-03-11,Saturday,전류,흐림,1,봄
원조순희네빈대떡,103,13,5000,2023-03-12,Sunday,전류,눈,1,봄
원조순희네빈대떡,39,5,5000,2023-03-13,Monday,전류,흐림,0,봄
원조순희네빈대떡,58,11,5000,2023-03-14,Tuesday,전류,더움,0,봄
원조순희네빈대떡,39,7,5000,2023-03-15,Wednesday,전류,비,0,봄
원조순희네빈대떡,141,24,5000,2023-03-16,Thursday,전류,맑음,0,봄
